Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water
1,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1
2,0.5,2,1,2,2,1,1,2,1,1,1,1,1,4,1,1,1
1,2,0.5,2,4,1,1,1,1,1,1,2,1,1,1,1,2,2
1,2,2,0.5,1,1,1,2,1,2,4,1,1,1,1,1,2,2
2,2,4,1,0.5,2,2,1,1,1,1,1,1,2,1,1,2,1
2,2,1,1,2,1,1,2,4,1,1,2,2,2,2,2,2,1
2,1,1,1,2,1,0.5,1,1,2,2,2,1,1,1,2,2,2
2,1,1,2,1,2,1,1,1,2,4,2,1,1,1,2,2,1
2,2,1,1,1,4,1,1,0.5,1,1,1,4,2,2,1,1,1
2,1,1,2,1,1,2,2,1,0.5,2,2,1,2,1,2,2,2
2,1,1,4,1,1,2,4,1,2,1,2,1,2,1,2,2,2
1,1,2,1,1,2,2,2,1,2,2,1,1,1,1,2,2,2
1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,2,2,1
2,1,1,1,2,2,1,1,2,2,2,1,1,0.5,2,2,4,1
2,4,1,1,1,2,1,1,2,1,1,1,1,2,0.5,1,2,1
2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2
2,1,2,2,2,2,2,2,1,2,2,2,2,4,2,2,0.5,2
1,1,2,2,1,1,2,1,1,2,2,2,1,1,1,2,1,0.5
