cve_periodo,cve_periodo_alta,dat_fecha_disposicion,dat_fecha_vencimiento,dat_monto_credito_dispuesto,dat_responsabilidad_total,dat_saldo_princ_inicio,dat_saldo_princ_fin,dat_monto_pago_exigible_acred,dat_monto_pagado_efec_acred,dat_monto_intereses_pagados,dat_tasa_bruta_periodo,dat_num_vencidos,cve_situacion_credito,id_disposicion,ventana
200909,200906,200703,201003,0,24209,24051,20733,3485,3597,279,13.9,0,1,304007220050AU0611063P1000_236,-5
200910,200906,200703,201003,0,20869,20733,17376,3501,3597,240,13.9,0,1,304007220050AU0611063P1000_236,-4
200911,200906,200703,201003,0,17490,17376,13980,3516,3597,201,13.9,0,1,304007220050AU0611063P1000_236,-3
200912,200906,200703,201003,0,14072,13980,10545,3532,3600,162,13.9,0,1,304007220050AU0611063P1000_236,-2
201001,200906,200703,201003,0,10615,10545,7071,3548,3597,122,13.9,0,1,304007220050AU0611063P1000_236,-1
201002,200906,200703,201003,0,7117,7071,3556,3564,3597,82,13.9,0,1,304007220050AU0611063P1000_236,0
201003,200906,200703,201003,0,3579,3556,0,3580,3597,41,13.9,0,2,304007220050AU0611063P1000_236,1
200909,200906,200708,201208,0,3603675,3600000,3500000,104900,137975,37975,12.25,0,1,304007220050AU0611063P1000_257,-5
200910,200906,200708,201208,0,3502382,3500000,3400000,103573,135729,35729,12.25,0,1,304007220050AU0611063P1000_257,-4
200911,200906,200708,201208,0,3403471,3400000,3300000,104628,136036,35865,12.25,0,1,304007220050AU0611063P1000_257,-3
200912,200906,200708,201208,0,3302246,3300000,3200000,103369,133688,33688,12.25,0,1,304007220050AU0611063P1000_257,-2
201001,200906,200708,201208,0,3203267,3200000,3100000,104356,133824,33756,12.25,0,1,304007220050AU0611063P1000_257,-1
201002,200906,200708,201208,0,3103165,3100000,3000000,104219,132701,32701,12.25,0,1,304007220050AU0611063P1000_257,0
201003,200906,200708,201208,0,3000000,3000000,2900000,101021,128583,28583,12.25,0,1,304007220050AU0611063P1000_257,1
